GAME;TITLE;AUTHOR;YEAR
Meridian 59;Fight;Gene Rozenberg (?);1996
Castlevania II;Bloody Tears (Day Theme);Kenichi Matsubara & S . Terishima;1988
Revelations: Persona;Deadline (Boss Theme);Kenichi Tsuchiya;1996
Phantasy Star IV : The End of the Millennium;Laughter;Izuho Takeuchi & Masaki Nakagaki;1993
Arc the Lad II;Battle 2;Masahiro Ando;1996
Castlevania : Symphony of the Night;Blood Relations;Michiru Yamane;1997
Wild Arms;Demon Battle;Michiko Naruke;1996
Legend of Dragoon;Battle 1;Dennis Martin & Takeo Miratsu;1999
Tyrant God Saga: Altered Perception;Feast of Damnation;Brandon Abley;2001
Final Fantasy Tactics;Unavoidable Battle;Masaharu Iwata;1997
Koji KUSANAGI;Mixture #2 “Obsession” ;;2000
Creature Shock;Grind;Justin Scharvona & Martin Gwynn Jones;1994
Phantasy Star IV : The End of the Millennium;Defeat in a Blow! (Boss Battle Theme);Izuho Takeuchi & Masaki Nakagaki;1993
Altered Beast;Powered Up Theme;Tohru “Master” Nakabayashi;1988
Breath of Fire III;Self-Determination (Myria Battle);Akari Kaida;1997
Tales of Destiny;Lion (Irony of Fate);Motoi Sakuraba;1997
Freedom House;Get Settled!;Saia Hyousek;2001
Final Fantasy V;The Decisive Battle;Nobuo Uematsu;1992
Legend of Legaia;Attack;Michiru Oshima;1998
Ys I;Holders of Power;Yuzo Koshiro;1989
Castlevania: The Adventure;Battle of the Holy;Konami Kukeiha Club;1989
Unbekannt;Unbekannt;;2005
Torsten Bischof;Boss Battle;;2005
Clock Tower;Death in the Elevator;Kouji Niikura;1995
Dirge of Cerberus: Final Fantasy VII;Wild Pack;Masashi Hamauzu;2006
Metal Gear;Mercenary (Remixed by Tsu Ryu);Konami Kukeiha Club;1987
Phantasy Star IV : The End of the Millennium;Laughter;Izuho Takeuchi & Masaki Nakagaki;1993
Ray2Light;Everlasting;;2017
Unreal;Warlord Theme;Alexander Brandon & Michiel van den Bos;1998
Kingdom Hearts;Forze Del Male (vs. Riku-Ansem);Yoko Shimomura;2002
Heretic;The Graveyard;Kevin Schilder;1994
Warcraft II: Tides of Darkness;Orc 1;Glenn Stafford;1995
Warcraft II: Tides of Darkness;Orc 4;Glenn Stafford;1995
Chrono Cross;Burning Orphanage;Yasunori Mitsuda;1999
Final Fantasy X;Fight with Seymour;Nobuo Uematsu;2001
Soldier Blade;Operation 5;Keita Hoshi & Makiko Tanifuji;1992
"A tower that crumbles too much";Uzy;;2001
Romancing SaGa;Battle Theme (Piano Version);Kenji Ito;1992
Phoenix Wright: Ace Attorney;Pursuit - Corner the Culprit;Masakazu Sugimori;2001
RPG Maker XP RTP;LastBoss03;;2005
Sword of the Berserk: Guts' Rage;Parasite;Susumu Hirasawa;1999
Lemmings 2: The Tribes;Cavelem Tribe (SNES version);Mike Clark;1993
Koji Kusanagi;Dancers #2;;1998
Blaster Master;Lava Caves (Stage 7);Naoki Kodaka;1988
Lemmings 2: The Tribes;Egypter than You (Remix by Zagro);Mike Clark (Original);1993
Megaman X;Spark Mandrill Theme;Makoto Tomozawa;1993
Crysalis;Pyramids (Seth´s Dance);Yoko Osaka;1990
Ecco the Dolphin;Home Bay (After the Storm);Spencer Nilsen;1993
Vampires Dawn;Dark Angel Battle Epic Cover;Carlos Alvarez (Remix);2022